Unnamed: 0,#CASE,DOF_PITCH_BC_,DOF_BETA1_GEOM_,DOF_BETA2_GEOM_,DOF_W1_GEOM_,DOF_W2_GEOM_,DOF_TMOVXU_GEOM_,DOF_TMOVXL_GEOM_,OF_alfa_ex_OP_01,OF_Cpt_OP_01,OF_CSI_OP_01,OF_phi_OP_01,OF_psi_OP_01,OF_Zwi_OP_01,OF_Zwc_OP_01,OF_DFss_mis_OP_01,OF_DFss_cp_OP_01,OF_Mis_peak_OP_01,OF_s_peak_OP_01,OF_s_diff_dim_OP_01,OF_s_tot_SS_OP_01,OF_Tmax_OP_01,OF_X_Tmax_OP_01
443,9695,0.09312446502,8.006592,-67.65076,0.2669434,0.4522095,0.1796844,0.1307648,-62.918,0.02528,0.02361,0.562000085,1.198191556,0.8259842162,0.78962438,1.2236,0.9521,0.4679,0.6245,0.05469,0.1457,0.0123073328,0.345015019
444,9697,0.1106323702,1.444092,-69.36951,0.07944336,0.1240845,0.0757782,-0.1481415,-65.878,0.02548,0.02379,0.4861684856,1.171449242,0.8936156458,0.8546225429,1.2135,0.954,0.4659,0.6295,0.05926,0.1599,0.0119524822,0.247259945
445,9704,0.108204866,15.19409,-68.74451,0.02944336,0.6865845,-0.0773468,-0.08251648,-66.368,0.0267,0.02493,0.474135335,1.167205704,0.8579025991,0.8205257707,1.1553,0.9659,0.4524,0.6295,0.06106,0.1648,0.012320593,0.173999965
446,9759,0.1232016225,2.987061,-65.72693,0.1145996,0.3086548,0.1082489,0.07710266,-60.253,0.02482,0.02317,0.6355166872,1.224117477,1.173236196,1.121237234,1.3154,0.9316,0.4991,0.5019,0.07531,0.1512,0.0123142665,0.301499993
447,9777,0.107317924,10.79956,-68.38318,0.1020996,0.4805298,0.02621765,-0.1471161,-63.94,0.02479,0.02315,0.5351774309,1.188732441,0.9229893928,0.8824771856,1.2146,0.9536,0.4671,0.637,0.05626,0.155,0.0120731099,0.22175999
448,9835,0.0949160851,13.76831,-65.0238,0.04584961,0.5508423,-0.009329224,-0.07875671,-63.441,0.02694,0.02516,0.5481851467,1.193319664,0.828809514,0.7923771704,1.1362,0.9697,0.4495,0.6496,0.05371,0.1533,0.0122770229,0.209415019
449,9837,0.09722816254,16.26831,-68.7738,0.1458496,0.1758423,-0.05307922,-0.1225067,-63.278,0.02568,0.02398,0.5524705465,1.194830927,0.8519801783,0.8145126655,1.2142,0.9535,0.4683,0.6934,0.04592,0.1498,0.0122718252,0.181660011
450,9861,0.09146786777,13.06519,-69.82849,0.2364746,0.04693604,0.05766296,0.08940735,-64.293,0.02617,0.02443,0.5260748862,1.185522393,0.7777552681,0.7436518247,1.2158,0.9537,0.4657,0.7121,0.04264,0.1481,0.0123138605,0.27837503
451,9899,0.1077605235,0.8776855,-67.48474,0.2489746,0.218811,0.08500671,-0.1348114,-61.747,0.02433,0.02272,0.5936374543,1.2093486,0.9875988955,0.9439893598,1.2374,0.9485,0.4753,0.6345,0.05454,0.1492,0.0119686713,0.251615047
452,9906,0.1052765066,0.2526855,-69.04724,0.07397461,0.812561,-0.03530579,-0.0363739,-67.184,0.02911,0.02718,0.4543966085,1.160244764,0.8113104243,0.7760577213,1.1015,0.9773,0.4398,0.6583,0.05739,0.168,0.0123209795,0.205360055
453,9915,0.1093060815,16.50269,-68.42224,0.02397461,0.375061,0.1178192,-0.0144989,-65.645,0.02479,0.02315,0.4919393242,1.173484351,0.889269487,0.8504380973,1.2525,0.9463,0.475,0.5582,0.07013,0.1587,0.0121978465,0.28294
454,9917,0.09976341026,14.00269,-67.17224,0.1239746,0.750061,0.1615692,-0.0582489,-63.816,0.0251,0.02344,0.5383943035,1.189866884,0.8613457454,0.8235254415,1.2081,0.9552,0.4645,0.572,0.0649,0.1516,0.0120043708,0.296814948
455,9939,0.09572398034,8.533936,-62.40662,0.06772461,0.1641235,0.02758484,-0.05004578,-60.28,0.02504,0.02337,0.6347438962,1.223844949,0.9111366277,0.8707565362,1.1743,0.9612,0.4621,0.627,0.05439,0.1458,0.0122706611,0.234374955
456,9945,0.09165325042,19.78394,-68.03162,0.2177246,0.3516235,-0.03804016,0.1030792,-61.565,0.02572,0.02401,0.5986457284,1.211114788,0.8419325036,0.8047365385,1.2181,0.9525,0.4701,0.7171,0.04093,0.1447,0.0121768638,0.23014006
457,9959,0.1083237444,10.72144,-68.81287,0.03022461,0.2109985,-0.1419464,0.01011047,-64.951,0.02544,0.02375,0.5093204488,1.179613874,0.9017207135,0.8622599969,1.2055,0.9555,0.465,0.6345,0.05839,0.1598,0.0120880175,0.162734956
458,10002,0.1118216105,18.8855,-67.8949,0.003662109,0.9004517,0.1649872,-0.05072937,-68.838,0.02829,0.02642,0.4154709373,1.146517472,0.8065098447,0.771666775,1.1638,0.9633,0.4598,0.5232,0.08249,0.173,0.0120172659,0.301499963
459,10013,0.0971298461,5.135498,-66.0199,0.1536621,0.9629517,-0.03188782,-0.02885437,-62.473,0.02685,0.02507,0.5739055631,1.20239007,0.8727507511,0.8342841444,1.1251,0.9719,0.4479,0.6971,0.0462,0.1525,0.0123208119,0.209414959
460,10055,0.1052765192,9.666748,-67.97302,0.09741211,0.00201416,0.09115906,0.001223755,-63.771,0.02441,0.02279,0.5395642355,1.190279465,0.9103466986,0.8703702723,1.2456,0.9475,0.4742,0.6333,0.05587,0.1524,0.0122621525,0.273839891
461,10125,0.1181694364,6.307373,-60.12146,0.04428711,0.7715454,0.0870575,0.07095032,-58.068,0.0229,0.02137,0.7001614786,1.246914719,1.183149214,1.130463819,1.2766,0.9375,0.4982,0.4193,0.08646,0.1489,0.0123192314,0.287535071
462,10135,0.09834744094,1.932373,-66.05896,0.06928711,0.9277954,-0.120755,-0.07123718,-64.874,0.03,0.02801,0.5112670297,1.180300343,0.8220130272,0.7860291239,1.0679,0.9844,0.4342,0.6558,0.05627,0.1635,0.0122924969,0.155374974
463,10147,0.1003002062,19.74487,-62.77771,0.03178711,0.9434204,0.04877625,-0.1423309,-62.743,0.02663,0.02487,0.5666652209,1.199836735,0.8935003388,0.854147762,1.13,0.9705,0.4524,0.4443,0.0865,0.1557,0.0120339561,0.230139896
464,10159,0.09294653771,0.994873,-68.40271,0.3817871,0.1309204,-0.01684875,0.1420441,-62.289,0.02646,0.02471,0.5788698067,1.20414073,0.8392466363,0.8022387695,1.1923,0.9577,0.4644,0.7284,0.03979,0.1465,0.0121569829,0.242935076
465,10169,0.1178966684,14.11987,-68.71521,0.05678711,0.8496704,-0.09341125,0.06548157,-64.905,0.02515,0.02348,0.5104828993,1.180023817,0.9826352063,0.9396282009,1.1866,0.9594,0.4602,0.582,0.06879,0.1646,0.0121111711,0.193374932
466,10189,0.1057852557,2.713623,-68.01208,0.1755371,0.1074829,0.1827606,-0.1286591,-63.803,0.02435,0.02273,0.5387321457,1.189986025,0.9141739615,0.8740331188,1.2569,0.945,0.4777,0.6133,0.05872,0.1518,0.0117405802,0.301499963
467,10227,0.0900236105,6.776123,-68.79333,0.3630371,0.4668579,0.07885437,0.1174347,-62.621,0.02617,0.02444,0.5699303255,1.200988187,0.8051317771,0.7696597324,1.2073,0.9552,0.4648,0.7347,0.03839,0.1447,0.012311521,0.292160094
468,10239,0.1073940717,13.02612,-64.41833,0.01303711,0.6543579,-0.03052063,-0.1231903,-63.078,0.02541,0.02373,0.5577536288,1.196694027,0.9479743724,0.9062622664,1.1609,0.964,0.4588,0.5645,0.06856,0.1574,0.0122384811,0.193374947
469,10245,0.123745035,9.456787,-69.245,0.07143555,0.2327271,-0.1357086,-0.08995056,-62.653,0.024,0.02241,0.5690728785,1.200685805,1.104918143,1.056245204,1.2873,0.9386,0.4869,0.5907,0.06487,0.1585,0.0122951493,0.144560024
470,10271,0.09961308247,3.831787,-64.5575,0.04643555,0.07647705,0.09397888,0.09598694,-62.962,0.02559,0.02389,0.5608305264,1.197779107,0.8830160537,0.8441497893,1.1804,0.9599,0.4633,0.6133,0.05847,0.1512,0.0123209264,0.296814948
471,10285,0.09175222365,14.14429,-67.83875,0.1589355,0.6858521,-0.1193024,0.09051819,-62.989,0.02693,0.02515,0.5601135137,1.197526249,0.8108750198,0.7751857919,1.1593,0.9648,0.4555,0.7184,0.04221,0.1499,0.0119709652,0.185534999
472,10307,0.09532087849,8.363037,-62.60437,0.002685547,0.2717896,0.009213257,0.07684631,-62.037,0.02642,0.02467,0.5857088219,1.206552536,0.8671491064,0.8288851499,1.1425,0.9678,0.455,0.6095,0.05882,0.1506,0.0122872405,0.24725993
473,10329,0.1225649725,2.738037,-68.54187,0.07768555,0.4280396,0.1295258,-0.06534119,-64.211,0.02654,0.02478,0.5281821372,1.186265523,1.045863898,0.9999928748,1.2815,0.94,0.4842,0.5419,0.07312,0.1596,0.0120580215,0.28293997
474,10335,0.1134879996,5.238037,-67.29187,0.1776855,0.8030396,0.1732758,-0.1090912,-61.981,0.02389,0.0223,0.5872349731,1.20709074,1.033495224,0.9878874069,1.2727,0.9414,0.4838,0.567,0.06548,0.1512,0.0118244672,0.296815068
475,10353,0.09450852734,18.67554,-69.94812,0.1901855,0.9749146,0.1349945,0.1041901,-64.575,0.0262,0.02446,0.5188609201,1.182978359,0.7960831751,0.7612055215,1.2012,0.9571,0.4599,0.7121,0.04336,0.1506,0.0123148682,0.315734982
476,10387,0.102222961,0.6286621,-60.84656,0.03081055,0.6585083,0.1363617,0.1821198,-61.123,0.02788,0.02603,0.6109146533,1.215441473,0.9532868835,0.9111214738,1.175,0.9601,0.4677,0.4919,0.07704,0.1516,0.0123094926,0.335135072
477,10389,0.08917738013,8.128662,-64.59656,0.1308105,0.0335083,0.1801117,0.1383698,-62.812,0.02602,0.0243,0.5648232433,1.199187154,0.7937775818,0.7588246749,1.1969,0.9569,0.4648,0.6058,0.05743,0.1457,0.0123109613,0.345015019
478,10407,0.1009003872,18.44116,-67.87781,0.06831055,0.7053833,-0.03316956,0.132901,-64.655,0.02628,0.02453,0.5168236083,1.182259893,0.8474809903,0.810360511,1.1649,0.9639,0.4546,0.6508,0.05484,0.157,0.0121360999,0.234375134
479,10414,0.1162646495,4.691162,-69.75281,0.01831055,0.0178833,0.1199554,0.198526,-66.403,0.02853,0.02664,0.4732810819,1.166904448,0.9218061818,0.8816484773,1.2658,0.9437,0.478,0.5845,0.06745,0.1623,0.0122879185,0.32537505
480,10441,0.09350038349,3.909912,-62.64343,0.1245605,0.3694458,-0.07418518,0.1192291,-59.829,0.02614,0.0244,0.6477325235,1.22842544,0.8998364575,0.8599136546,1.1414,0.9681,0.4544,0.6608,0.04956,0.1461,0.0120541975,0.209415004
481,10447,0.101976388,6.409912,-61.39343,0.02456055,0.9944458,-0.1179352,0.1629791,-61.867,0.02887,0.02696,0.5903490019,1.208188914,0.9321530401,0.8909997476,1.0909,0.9786,0.4476,0.1076,0.143,0.1603,0.0118092867,0.189439997
482,10453,0.1172091314,2.034912,-67.33093,0.09956055,0.8381958,0.08987732,0.02079163,-63.904,0.02691,0.02512,0.5361103154,1.189061426,1.009907051,0.9655726593,1.202,0.9561,0.4647,0.5332,0.07447,0.1595,0.0122868,0.27837491
483,10465,0.118924519,19.84741,-64.04968,0.01206055,0.7913208,-0.09059143,-0.06123962,-61.653,0.02375,0.02217,0.5962210026,1.210259698,1.090263306,1.042109503,1.2193,0.9515,0.4743,0.5006,0.07896,0.1581,0.0123116262,0.174000055
484,10491,0.09705446401,14.22241,-69.98718,0.08706055,0.8850708,0.05159607,0.1465729,-67.659,0.02917,0.02724,0.4430731178,1.15625149,0.733822646,0.7019883321,1.1204,0.9735,0.4416,0.6909,0.05033,0.1628,0.0122655723,0.28294
485,10497,0.1013101347,9.886475,-65.16296,0.110498,0.1331177,0.1138031,0.1855377,-61.574,0.02406,0.02246,0.598397474,1.21102724,0.932770607,0.8915646792,1.236,0.949,0.4741,0.617,0.05643,0.1473,0.0122926813,0.320539981
486,10517,0.09124634562,0.5114746,-67.97546,0.435498,0.6018677,-0.0502594,0.1964752,-61.198,0.02673,0.02496,0.6088221225,1.214703533,0.8483265195,0.8108117351,1.1873,0.9586,0.4643,0.7434,0.0371,0.1446,0.0119704809,0.230139926
487,10569,0.091561799,7.230225,-69.77234,0.416748,0.7971802,0.04544373,0.1718658,-62.072,0.0261,0.02437,0.5847561591,1.206216576,0.8312927306,0.7946146137,1.2234,0.9519,0.469,0.7422,0.03715,0.1441,0.0122275883,0.282939881
488,10589,0.1063977762,2.855225,-66.95984,0.141748,0.4534302,-0.1404938,0.1609283,-62.021,0.02638,0.02463,0.5861446274,1.206706225,0.9679395013,0.9252266188,1.1838,0.9595,0.4627,0.6533,0.05331,0.1538,0.0117224101,0.177815035
489,10597,0.104763504,3.792725,-69.92859,0.204248,0.7190552,0.007162476,-0.1289154,-64.285,0.02581,0.0241,0.5262802806,1.185594826,0.8916422796,0.8525443188,1.1927,0.9582,0.4614,0.6884,0.04836,0.1552,0.0121590951,0.213500082
490,10611,0.1249568431,10.66772,-69.61609,0.129248,0.2503052,-0.06940002,-0.05235291,-61.474,0.02352,0.02196,0.6011593399,1.212001223,1.15221903,1.101305999,1.3188,0.9321,0.4955,0.5895,0.06347,0.1546,0.0123180235,0.185535073
491,10613,0.1125918475,18.16772,-65.86609,0.02924805,0.8753052,-0.11315,-0.008602905,-63.778,0.02549,0.02379,0.5393821577,1.190215255,0.9716344009,0.9289664689,1.1571,0.9651,0.4557,0.5482,0.07312,0.1618,0.0122100329,0.17400001
492,10635,0.1114671681,3.0896,-65.20203,0.01362305,0.2229614,0.03040466,0.05292053,-62.994,0.02737,0.02555,0.5599807895,1.197479444,0.9870946797,0.9436496419,1.2039,0.955,0.469,0.5645,0.06794,0.156,0.0123172076,0.256000012
493,10637,0.09802196147,5.5896,-68.95203,0.113623,0.5979614,0.07415466,0.09667053,-66.208,0.0276,0.02577,0.4780493593,1.168586,0.7826404583,0.7485247314,1.1491,0.9672,0.4508,0.6846,0.0498,0.1579,0.0123175113,0.287535012
494,10677,0.09666008035,6.5271,-66.60828,0.226123,0.3323364,0.1452484,-0.02911072,-62.2,0.0248,0.02315,0.5812798402,1.204990638,0.875048182,0.8364542171,1.217,0.9529,0.4688,0.6671,0.04871,0.1463,0.0121156387,0.292160064
495,10687,0.09249528699,15.2771,-63.48328,0.07612305,0.1448364,-0.1391266,0.08026428,-60.05,0.02543,0.02375,0.6413464086,1.226173352,0.8833852697,0.8442136385,1.1757,0.9607,0.4632,0.6546,0.05002,0.1448,0.0119215483,0.17400001
496,10695,0.1087850576,12.93335,-68.5614,0.207373,0.2151489,-0.08717346,0.1704987,-60.556,0.02398,0.02238,0.6268787636,1.221071279,1.026514425,0.9810525853,1.2774,0.9406,0.4844,0.6558,0.05102,0.1482,0.0119049568,0.205359951
497,10701,0.1078069992,4.18335,-61.6864,0.05737305,0.2776489,0.1972015,-0.1138763,-59.871,0.02354,0.02197,0.6465156796,1.227996316,1.036709493,0.9907225045,1.2779,0.9385,0.4932,0.5369,0.06795,0.1467,0.0117488829,0.310959965
498,10705,0.1006207899,2.30835,-68.2489,0.132373,0.8088989,-0.01061096,0.07206116,-65.002,0.02782,0.02598,0.5080331747,1.179159912,0.8372043606,0.8005711483,1.1307,0.9709,0.4478,0.6859,0.04978,0.1585,0.0122694662,0.238639906
499,10723,0.09080758126,11.99585,-64.34265,0.06987305,0.4495239,0.1151703,0.1103424,-63.158,0.02678,0.025,0.5556370808,1.195947618,0.8000231845,0.7648280107,1.1516,0.9665,0.4525,0.6446,0.05302,0.1492,0.0123207029,0.310960025
500,10729,0.08957430666,0.7458496,-66.21765,0.219873,0.01202393,-0.1254547,-0.04278259,-62.244,0.0288,0.02689,0.5800876382,1.204570204,0.8101011782,0.7743720533,1.1433,0.9679,0.4536,0.7159,0.04229,0.1488,0.0122448513,0.159040064
501,10735,0.1027121846,8.24585,-69.96765,0.319873,0.6370239,-0.08170471,0.0009674072,-61.408,0.02515,0.02348,0.6029863789,1.212645535,0.948924247,0.9069851834,1.2412,0.948,0.4749,0.7009,0.04422,0.1478,0.0122561315,0.189439982
502,10745,0.1301745397,16.37085,-69.65515,0.04487305,0.3557739,0.01673279,-0.09747009,-62.967,0.02319,0.02165,0.5606977078,1.197732268,1.151401868,1.100726376,1.3531,0.9259,0.5018,0.5507,0.07159,0.1593,0.0122085176,0.221760094
503,10799,0.1138928097,3.265381,-66.81335,0.0737793,0.6243286,0.01980896,-0.1429291,-63.654,0.02489,0.02324,0.5426123732,1.191354403,0.988844861,0.9454061643,1.1872,0.9589,0.4626,0.5845,0.06589,0.1586,0.0120986244,0.217614993
504,10867,0.1143108972,9.046631,-65.95398,0.0800293,0.7883911,0.1045746,-0.1237885,-62.727,0.02399,0.0224,0.567092828,1.199987532,1.019649784,0.9747428879,1.2254,0.9508,0.473,0.5332,0.07258,0.1555,0.0119526284,0.264860004
505,10869,0.1266426536,1.546631,-69.70398,0.1800293,0.4133911,0.06082458,-0.08003845,-62.277,0.02583,0.02412,0.5791944171,1.204255206,1.143637505,1.093206236,1.2976,0.9366,0.4891,0.5657,0.06783,0.1562,0.0121647315,0.247259989
506,10884,0.1086480529,8.499756,-67.32117,0.0144043,0.6282349,0.09500427,0.13461,-66.498,0.0298,0.02783,0.4709658841,1.166087985,0.8586695997,0.82127334,1.1669,0.9632,0.4574,0.5632,0.07163,0.164,0.0123110982,0.301499933
507,10937,0.09159301965,6.937256,-63.41492,0.0269043,0.05010986,0.07859802,0.1510162,-62.731,0.02674,0.02496,0.5669859092,1.199949827,0.8173344525,0.7813351935,1.1494,0.9666,0.4552,0.632,0.05484,0.149,0.0122895613,0.296814919
508,10945,0.1119233111,4.906006,-68.33679,0.2581543,0.1204224,0.04305115,0.06625061,-60.952,0.02372,0.02215,0.61570219,1.217129816,1.046961943,1.000639778,1.2753,0.9406,0.4854,0.637,0.05385,0.1484,0.012317121,0.264859915
509,10955,0.1075526211,13.65601,-61.46179,0.008154297,0.4329224,-0.02257385,0.0006256103,-59.385,0.02361,0.02204,0.6606892812,1.232994692,1.044998394,0.9985926225,1.2143,0.9524,0.4741,0.5394,0.06859,0.1489,0.0123161776,0.217614993
510,10967,0.09571567634,10.53101,-68.64929,0.1831543,0.9016724,0.1196136,0.1428131,-64.326,0.02633,0.02458,0.5252280695,1.185223759,0.8134893164,0.77782245,1.1773,0.9616,0.4559,0.6934,0.04648,0.1516,0.0123175178,0.315735012
511,10981,0.09460252299,0.2185059,-63.80554,0.0206543,0.3547974,-0.0171051,0.1264069,-63.509,0.02869,0.02679,0.5464027168,1.192691083,0.8253871081,0.7891104691,1.1034,0.9763,0.446,0.6245,0.05828,0.1552,0.0121822869,0.242935136
512,11011,0.1235305307,17.67944,-68.86414,0.0190918,0.07159424,0.08338318,-0.01919861,-63.138,0.02312,0.02158,0.5561658022,1.196134073,1.087397529,1.03956171,1.3656,0.9238,0.5037,0.5056,0.07755,0.1569,0.0122423312,0.269335002
513,11087,0.09000678701,7.523193,-67.37976,0.2003418,0.1106567,-0.1435699,-0.1039642,-62.598,0.02755,0.02573,0.5705470676,1.201205684,0.8053593695,0.7698743165,1.166,0.9632,0.4582,0.7134,0.04265,0.1488,0.0123008052,0.137499958
514,11103,0.1267244464,14.39819,-68.31726,0.0253418,0.2669067,-0.001382446,-0.04927673,-62.652,0.02312,0.02158,0.5690996626,1.20069525,1.131513491,1.081670591,1.328,0.9305,0.4969,0.5507,0.07097,0.1579,0.0123003805,0.217615098
515,11203,0.1005587411,6.976318,-68.66882,0.2222168,0.6536255,-0.008218384,-0.01783142,-62.737,0.02547,0.02378,0.5668255523,1.199893276,0.8963680288,0.856890248,1.1988,0.9567,0.4642,0.6934,0.04611,0.1504,0.0123201581,0.221759975
516,11205,0.09214949375,4.476318,-67.41882,0.3222168,0.02862549,-0.05196838,-0.06158142,-61.573,0.02619,0.02445,0.5984250548,1.211036966,0.8483345681,0.810855667,1.1917,0.9579,0.4643,0.7196,0.04079,0.1455,0.0123198573,0.193374962
517,11219,0.1200049746,10.10132,-67.10632,0.0472168,0.9973755,-0.1285309,-0.1381439,-64.762,0.026,0.02427,0.5141050015,1.181301165,1.005659523,0.9616245081,1.1394,0.9689,0.4512,0.5319,0.07893,0.1686,0.0123197045,0.137499943
518,11239,0.1174230037,7.913818,-64.13757,0.0597168,0.8880005,0.04100037,-0.07798767,-61.652,0.02402,0.02243,0.5962485232,1.210269404,1.079175932,1.031511616,1.2047,0.9544,0.4715,0.4631,0.0841,0.1566,0.0122048389,0.234375
519,11277,0.1248917661,19.66187,-69.80652,0.08276367,0.7009888,0.1802826,-0.003646851,-63.747,0.02327,0.02172,0.5401887499,1.190499703,1.079525495,1.032117242,1.3686,0.9233,0.504,0.5181,0.07635,0.1585,0.0121059399,0.315734953
520,11287,0.09256366426,14.03687,-63.86902,0.007763672,0.6072388,-0.04940491,0.1822906,-63.747,0.02853,0.02665,0.5401887499,1.190499703,0.8008641022,0.7656891843,1.103,0.9765,0.4441,0.6183,0.05945,0.1557,0.0120003792,0.230139986
521,11301,0.097898359,4.349365,-68.71277,0.1952637,0.1541138,0.1748138,0.1768219,-64.842,0.02587,0.02415,0.5120770811,1.180586011,0.8187185508,0.7828778901,1.2216,0.9525,0.4675,0.6583,0.0517,0.1513,0.0123206563,0.350000203
522,11345,0.1264350849,12.63062,-68.00964,0.06401367,0.8963013,-0.07401428,0.02096252,-63.431,0.02398,0.02239,0.5484475332,1.193412195,1.103781087,1.055263825,1.2242,0.9514,0.4712,0.5232,0.07784,0.1632,0.0122396946,0.197340056
523,11409,0.1022584275,2.08374,-69.45496,0.2671387,0.31427,0.1925873,-0.05970154,-64.289,0.02522,0.02354,0.5261775783,1.185558607,0.8703454012,0.8321826366,1.2488,0.9469,0.4746,0.6571,0.05179,0.151,0.0119257877,0.310959965
524,11439,0.09786530026,8.64624,-68.67371,0.07963867,0.236145,0.08868103,0.04420471,-66.085,0.02681,0.02503,0.4810682228,1.169650614,0.7846718159,0.7504543425,1.177,0.9615,0.4569,0.6646,0.05235,0.1561,0.0123071307,0.28294003
525,11445,0.1203702049,3.02124,-62.73621,0.004638672,0.07989502,-0.1191315,-0.1198578,-58.974,0.02385,0.02227,0.6728374384,1.237278788,1.181409201,1.128898606,1.2471,0.945,0.4848,0.5282,0.07146,0.1514,0.0123207578,0.148134917
526,11463,0.1051817431,16.30249,-62.03308,0.03588867,0.4627075,0.1734467,0.07428284,-60.14,0.02317,0.02163,0.6387575477,1.22526038,1.004083534,0.9595719929,1.2806,0.939,0.4894,0.5357,0.06819,0.1469,0.0122606894,0.330239922
527,11469,0.1009160311,5.05249,-67.65808,0.2858887,0.02520752,-0.06717834,-0.03509216,-60.948,0.02492,0.02327,0.6158144563,1.217169408,0.9441277593,0.9023530751,1.224,0.9511,0.4727,0.6871,0.04593,0.1468,0.0123108402,0.189439967
528,11514,0.1237880338,17.86499,-68.43933,0.02338867,0.8533325,0.1898529,0.07975159,-66.543,0.02786,0.02601,0.4698709851,1.165701864,0.9759260585,0.9334312008,1.2791,0.9403,0.4843,0.5257,0.07966,0.1679,0.0122481976,0.340060025
529,11553,0.1126338299,3.763428,-67.1698,0.03745117,0.2459106,-0.09657288,-0.08226013,-63.711,0.02514,0.02347,0.5411262412,1.190830313,0.9761207725,0.9332474604,1.197,0.9567,0.4657,0.6083,0.06224,0.1589,0.0123186223,0.166459933
530,11559,0.1250083057,6.263428,-68.4198,0.1374512,0.6209106,-0.1403229,-0.1260101,-61.081,0.02452,0.02289,0.6120884005,1.215855399,1.165161705,1.11362514,1.2611,0.9435,0.4819,0.5932,0.06349,0.1561,0.0123181874,0.134015054
531,11643,0.1265388026,0.7946777,-68.81042,0.1187012,0.7849731,0.113974,-0.139682,-63.806,0.02644,0.02468,0.5386541722,1.189958528,1.093292104,1.045284419,1.2636,0.9437,0.4792,0.5119,0.07844,0.1607,0.0118820807,0.269334972
532,11645,0.1169727454,8.294678,-65.06042,0.01870117,0.4099731,0.157724,-0.09593201,-62.704,0.02352,0.02195,0.5677078318,1.200204416,1.044315931,0.99831967,1.288,0.9375,0.4911,0.5244,0.07388,0.1553,0.0119037749,0.292160034
533,11651,0.1082754439,12.90405,-65.72449,0.02807617,0.6951294,0.01416931,0.1405914,-64.012,0.0255,0.02381,0.5333142196,1.188075372,0.9293578083,0.8885735944,1.1691,0.9626,0.4589,0.5757,0.06741,0.1589,0.0122189233,0.260415137
534,11653,0.09879409495,15.40405,-69.47449,0.1280762,0.07012939,-0.02958069,0.1843414,-64.15,0.02532,0.02364,0.5297525486,1.186819335,0.8433457533,0.8063513807,1.2271,0.9513,0.4692,0.6884,0.04732,0.1518,0.0120512508,0.242935017
535,11667,0.1095116032,9.779053,-69.78699,0.2030762,0.9138794,-0.1280182,0.1077789,-62.187,0.02516,0.02349,0.5816323535,1.205114954,0.9904950727,0.9468068104,1.2173,0.9531,0.468,0.6846,0.04849,0.1537,0.0118973572,0.181660011
536,11693,0.1260864564,0.7165527,-68.38074,0.04057617,0.5232544,-0.05692444,0.003872681,-64.636,0.02503,0.02337,0.5173071041,1.1824304,1.061603445,1.015102572,1.2158,0.9533,0.4677,0.5582,0.07324,0.1658,0.0122872563,0.201334909
537,11703,0.09070095231,5.091553,-63.06824,0.06557617,0.6795044,0.1946381,0.1679352,-63.494,0.02813,0.02626,0.5467956306,1.192829645,0.7917295536,0.756931093,1.1406,0.9682,0.4548,0.5845,0.0628,0.1511,0.0123171732,0.360060096
538,11745,0.08979983296,10.8728,-65.33386,0.2343262,0.5466919,0.1700287,-0.1301117,-61.392,0.02527,0.02359,0.6034298033,1.212801911,0.8306974906,0.7939824386,1.2029,0.956,0.4644,0.6809,0.04562,0.1429,0.0117688859,0.296814978
539,11815,0.1111019645,13.39233,-67.25769,0.08510742,0.09063721,0.03570251,-0.05457458,-61.98,0.02349,0.02193,0.5872622469,1.207100358,1.011033619,0.9664176618,1.2789,0.9405,0.4836,0.6133,0.05848,0.1512,0.0122537212,0.2386401
540,11847,0.0930887427,5.423584,-68.89832,0.4788574,0.4265747,0.1423431,0.1559723,-61.627,0.02517,0.02349,0.5969367849,1.210512122,0.8555796477,0.8177875258,1.2462,0.9472,0.475,0.7171,0.04028,0.1424,0.0123197557,0.330239952
541,11859,0.09783137454,4.798584,-66.71082,0.1538574,0.8328247,-0.02171936,0.1450348,-62.979,0.02671,0.02494,0.5603790146,1.197619879,0.8664240171,0.8282888852,1.1402,0.9688,0.4509,0.6896,0.04743,0.1528,0.0121412184,0.242935017
542,11899,0.1149957502,18.86108,-65.61707,0.06635742,0.2546997,-0.06000061,-0.03543396,-59.59,0.02291,0.02138,0.6546857541,1.230877525,1.109938513,1.060672763,1.2995,0.9356,0.4919,0.5857,0.06163,0.1488,0.0123151122,0.193374991
543,11901,0.1240594867,11.36108,-69.36707,0.1663574,0.8796997,-0.01625061,0.00831604,-61.225,0.02338,0.02183,0.6080698897,1.214438255,1.151506798,1.100593727,1.278,0.9404,0.4846,0.5845,0.06417,0.1544,0.0123155816,0.22176002
544,11907,0.1035093442,7.376709,-69.87488,0.1757324,0.2195435,0.1901947,0.02608948,-65.204,0.02489,0.02324,0.5029502641,1.177367403,0.8551883776,0.8177937457,1.2696,0.943,0.4787,0.602,0.06095,0.1531,0.0121539831,0.325375021
545,11925,0.1061454577,18.00171,-69.56238,0.2507324,0.7507935,0.0917572,0.124527,-60.947,0.02392,0.02233,0.6158425249,1.217179306,0.9916158778,0.9477415011,1.2919,0.9384,0.4851,0.6608,0.0496,0.1463,0.0123142311,0.301500112
546,11935,0.1104811532,9.251709,-60.18738,0.0007324219,0.6882935,-0.0176178,-0.07234802,-59.566,0.0242,0.02259,0.6553867121,1.23112472,1.069830813,1.022341289,1.1867,0.9572,0.4729,0.4443,0.08439,0.1519,0.0122929802,0.205359966
