Unnamed: 0,#CASE,DOF_PITCH_BC_,DOF_BETA1_GEOM_,DOF_BETA2_GEOM_,DOF_W1_GEOM_,DOF_W2_GEOM_,DOF_TMOVXU_GEOM_,DOF_TMOVXL_GEOM_,OF_alfa_ex_OP_01,OF_Cpt_OP_01,OF_CSI_OP_01,OF_phi_OP_01,OF_psi_OP_01,OF_Zwi_OP_01,OF_Zwc_OP_01,OF_DFss_mis_OP_01,OF_DFss_cp_OP_01,OF_Mis_peak_OP_01,OF_s_peak_OP_01,OF_s_diff_dim_OP_01,OF_s_tot_SS_OP_01,OF_Tmax_OP_01,OF_X_Tmax_OP_01
22,549,0.1065140965,17.55859,-69.26758,0.1539063,0.7041016,0.1210449,-0.06420898,-63.306,0.02416,0.02255,0.5517331127,1.194570868,0.9330220922,0.8919957322,1.2613,0.9451,0.4745,0.6408,0.05449,0.1517,0.0120797139,0.27837497
23,553,0.08911923321,1.308594,-64.89258,0.2039063,0.3916016,-0.07583008,0.176416,-61.372,0.02758,0.02575,0.6039843619,1.212997478,0.8252402057,0.7887617461,1.1334,0.97,0.4514,0.7121,0.04237,0.1472,0.0119306613,0.213500053
24,587,0.1128959685,4.902344,-64.0332,0.01015625,0.3681641,0.07456055,-0.07788086,-62.264,0.02408,0.02247,0.579546197,1.204379262,1.020721746,0.9757114573,1.2206,0.9512,0.475,0.5282,0.07303,0.1548,0.0121429525,0.251615137
25,593,0.1176521418,9.277344,-69.9707,0.08515625,0.4619141,-0.111377,0.08618164,-64.268,0.02466,0.02302,0.5267168808,1.185748795,1.001235904,0.957331233,1.2401,0.9486,0.4729,0.6158,0.06173,0.1607,0.0120087843,0.189440086
26,599,0.1192833488,1.777344,-66.2207,0.1851563,0.8369141,-0.06762695,0.04243164,-59.708,0.02375,0.02217,0.6512466318,1.229664705,1.150706581,1.09964408,1.2215,0.9514,0.473,0.5982,0.06086,0.1515,0.0122174248,0.20535998
27,629,0.09273276687,5.839844,-62.93945,0.2476563,0.1962891,0.1784668,0.1900879,-59.368,0.02435,0.02273,0.6611887872,1.233170845,0.9020453522,0.8619856281,1.2254,0.9507,0.4737,0.6245,0.0527,0.1404,0.0123201106,0.355015129
28,639,0.09150187295,17.08984,-67.31445,0.09765625,0.2587891,-0.1059082,-0.1380371,-63.444,0.0271,0.02531,0.5481064439,1.193291909,0.7975407768,0.7624827765,1.1647,0.9634,0.4583,0.6984,0.04524,0.15,0.0123085249,0.151740015
29,657,0.08973232607,16.07422,-67.50977,0.2820313,0.7626953,0.136084,0.05200195,-61.486,0.02542,0.02373,0.6008275111,1.211884202,0.827259834,0.7907049085,1.2215,0.9523,0.4687,0.7209,0.03973,0.1424,0.012274703,0.306214929
30,667,0.08573969991,7.324219,-61.88477,0.03203125,0.7001953,-0.148291,-0.01362305,-61.914,0.03089,0.02885,0.5890639715,1.207735743,0.7825019834,0.747957592,1.0621,0.9856,0.4346,0.637,0.05569,0.1534,0.012125263,0.155374959
31,678,0.09957090736,8.261719,-68.60352,0.01953125,0.1220703,-0.1209473,0.002783203,-66.116,0.02724,0.02544,0.480306551,1.169382008,0.7972521663,0.7624893462,1.1557,0.9657,0.4536,0.6708,0.05255,0.1596,0.012167912,0.170214996
32,687,0.1082387788,14.51172,-69.22852,0.06953125,0.6845703,0.03217773,-0.0190918,-65.724,0.02567,0.02396,0.489979106,1.172793073,0.8781200089,0.8397842641,1.191,0.9588,0.4594,0.6358,0.05845,0.1605,0.0122996233,0.242934957
33,705,0.09816129569,8.105469,-63.99414,0.1132812,0.2705078,0.1661621,-0.03276367,-61.496,0.02434,0.02272,0.6005510716,1.211786714,0.9059450194,0.8659156822,1.2232,0.9511,0.4735,0.5482,0.06615,0.1464,0.0120627936,0.301499993
34,745,0.113407213,13.41797,-62.58789,0.00078125,0.8173828,0.1935059,0.1367676,-63.083,0.02765,0.02582,0.5576212145,1.19664733,1.001611301,0.9575377111,1.244,0.9454,0.4851,0.5044,0.07841,0.1582,0.0123027228,0.355015069
35,755,0.1146826312,17.79297,-68.52539,0.07578125,0.9736328,-0.05805664,-0.04916992,-64.496,0.02513,0.02346,0.5208767406,1.183689246,0.9680521637,0.9256309407,1.1763,0.9617,0.4567,0.597,0.06533,0.1621,0.0123198656,0.189440072
36,757,0.09332200629,10.29297,-67.27539,0.1757812,0.3486328,-0.01430664,-0.005419922,-62.744,0.02612,0.02439,0.5666385015,1.199827312,0.8316005342,0.7949750487,1.1812,0.9604,0.4592,0.6984,0.04476,0.1484,0.0123203108,0.221760064
37,777,0.09458617728,3.378906,-66.31836,0.1023438,0.2255859,-0.1270996,-0.01293945,-63.32,0.02779,0.02594,0.5513645972,1.194440909,0.829460294,0.7929860869,1.1386,0.969,0.4519,0.6846,0.04839,0.1534,0.0121847,0.166459933
38,797,0.09518107619,6.503906,-69.13086,0.4273438,0.5068359,0.05883789,-0.002001953,-61.369,0.02527,0.02359,0.6040675724,1.213026822,0.880647179,0.8417219978,1.2372,0.9488,0.4739,0.7234,0.03972,0.1436,0.01229244,0.260414928
