percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
77,2.819252e-02,7.948182e-04,2.086060e+00,3.673295e-02,1.349310e-03,2.730748e+00,4.654311e-02,2.166261e-03,3.322213e+00
78,2.891357e-02,8.359946e-04,2.154080e+00,3.842740e-02,1.476671e-03,2.835557e+00,4.767639e-02,2.273039e-03,3.416558e+00
79,2.954367e-02,8.728286e-04,2.212096e+00,4.038648e-02,1.631072e-03,2.901249e+00,4.903152e-02,2.404090e-03,3.524459e+00
80,3.031988e-02,9.192954e-04,2.261745e+00,4.191470e-02,1.756843e-03,3.000060e+00,5.122867e-02,2.624376e-03,3.694623e+00
81,3.132667e-02,9.813603e-04,2.322058e+00,4.317088e-02,1.863726e-03,3.098162e+00,5.323708e-02,2.834187e-03,3.831343e+00
82,3.221133e-02,1.037570e-03,2.387750e+00,4.464136e-02,1.992853e-03,3.302444e+00,5.553628e-02,3.084287e-03,3.983612e+00
83,3.314038e-02,1.098285e-03,2.443697e+00,4.758365e-02,2.264207e-03,3.455088e+00,5.769653e-02,3.328890e-03,4.109384e+00
84,3.430069e-02,1.176538e-03,2.525974e+00,4.966187e-02,2.466304e-03,3.590414e+00,5.955971e-02,3.547360e-03,4.188033e+00
85,3.547201e-02,1.258264e-03,2.598305e+00,5.194221e-02,2.698017e-03,3.745659e+00,6.211092e-02,3.857774e-03,4.303704e+00
86,3.687120e-02,1.359486e-03,2.695092e+00,5.435193e-02,2.954134e-03,3.894392e+00,6.384680e-02,4.076415e-03,4.469467e+00
87,3.822468e-02,1.461126e-03,2.790720e+00,5.616107e-02,3.154078e-03,4.109034e+00,6.780654e-02,4.597729e-03,4.612104e+00
88,3.964641e-02,1.571838e-03,2.875931e+00,5.821974e-02,3.389585e-03,4.245609e+00,7.010942e-02,4.915332e-03,4.756132e+00
89,4.107380e-02,1.687057e-03,2.993247e+00,6.071272e-02,3.686035e-03,4.355546e+00,7.288472e-02,5.312183e-03,4.955212e+00
90,4.248157e-02,1.804683e-03,3.097079e+00,6.285808e-02,3.951140e-03,4.469372e+00,7.611303e-02,5.793258e-03,5.230348e+00
91,4.454363e-02,1.984135e-03,3.195619e+00,6.648448e-02,4.420194e-03,4.664482e+00,7.962822e-02,6.340658e-03,5.409598e+00
92,4.634651e-02,2.147999e-03,3.326763e+00,7.048575e-02,4.968245e-03,4.941560e+00,8.394410e-02,7.046617e-03,5.698492e+00
93,4.873275e-02,2.374882e-03,3.458423e+00,7.668567e-02,5.880768e-03,5.196403e+00,8.877586e-02,7.881161e-03,5.963513e+00
94,5.145095e-02,2.647200e-03,3.638988e+00,8.270915e-02,6.840832e-03,5.526015e+00,9.632726e-02,9.279009e-03,6.272395e+00
95,5.429034e-02,2.947445e-03,3.853699e+00,8.707199e-02,7.581547e-03,6.017825e+00,1.023991e-01,1.048559e-02,6.684430e+00
96,5.792148e-02,3.354897e-03,4.075531e+00,9.337541e-02,8.718971e-03,6.612581e+00,1.115668e-01,1.244716e-02,7.172498e+00
97,6.312925e-02,3.985304e-03,4.404836e+00,1.086883e-01,1.181379e-02,7.212194e+00,1.301708e-01,1.694443e-02,8.432074e+00
98,6.997847e-02,4.896995e-03,4.799824e+00,1.278220e-01,1.634021e-02,8.361468e+00,1.469012e-01,2.158026e-02,9.544470e+00
99,8.032344e-02,6.451894e-03,5.545276e+00,1.519141e-01,2.307791e-02,1.005798e+01,2.017005e-01,4.069138e-02,1.213872e+01
100,1.737585e-01,3.019202e-02,1.148285e+01,3.977633e-01,1.582156e-01,2.294464e+01,4.441904e-01,1.973051e-01,2.706395e+01
