percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
70,1.105143e-02,1.221341e-04,1.205280e+00,1.303809e-02,1.699918e-04,1.412446e+00,1.416680e-02,2.006985e-04,1.397139e+00
71,1.126054e-02,1.267999e-04,1.238188e+00,1.348025e-02,1.817171e-04,1.438415e+00,1.441576e-02,2.078143e-04,1.422535e+00
72,1.148092e-02,1.318116e-04,1.274076e+00,1.375939e-02,1.893208e-04,1.474927e+00,1.465866e-02,2.148762e-04,1.457299e+00
73,1.178046e-02,1.387792e-04,1.303155e+00,1.402617e-02,1.967336e-04,1.507927e+00,1.509027e-02,2.277164e-04,1.487337e+00
74,1.205338e-02,1.452840e-04,1.334354e+00,1.422399e-02,2.023218e-04,1.546908e+00,1.537700e-02,2.364522e-04,1.517201e+00
75,1.237530e-02,1.531479e-04,1.366300e+00,1.456231e-02,2.120608e-04,1.576328e+00,1.585391e-02,2.513465e-04,1.562264e+00
76,1.271986e-02,1.617950e-04,1.401056e+00,1.492175e-02,2.226587e-04,1.614598e+00,1.610917e-02,2.595054e-04,1.597122e+00
77,1.302429e-02,1.696322e-04,1.438227e+00,1.527138e-02,2.332150e-04,1.639182e+00,1.666248e-02,2.776383e-04,1.647970e+00
78,1.332683e-02,1.776044e-04,1.474012e+00,1.562788e-02,2.442308e-04,1.662325e+00,1.709716e-02,2.923128e-04,1.688496e+00
79,1.368293e-02,1.872225e-04,1.508318e+00,1.590334e-02,2.529161e-04,1.718344e+00,1.744440e-02,3.043072e-04,1.723299e+00
80,1.413342e-02,1.997535e-04,1.543091e+00,1.631384e-02,2.661441e-04,1.751825e+00,1.791095e-02,3.208020e-04,1.780886e+00
81,1.453609e-02,2.112978e-04,1.580297e+00,1.702010e-02,2.896840e-04,1.795122e+00,1.858081e-02,3.452464e-04,1.817211e+00
82,1.497677e-02,2.243036e-04,1.617954e+00,1.759577e-02,3.096112e-04,1.825393e+00,1.901397e-02,3.615312e-04,1.868842e+00
83,1.545323e-02,2.388024e-04,1.656728e+00,1.799299e-02,3.237479e-04,1.877049e+00,1.955534e-02,3.824115e-04,1.934567e+00
84,1.582480e-02,2.504243e-04,1.701540e+00,1.840327e-02,3.386803e-04,1.926356e+00,2.011116e-02,4.044591e-04,1.999777e+00
85,1.619464e-02,2.622664e-04,1.745564e+00,1.882197e-02,3.542666e-04,1.964101e+00,2.073340e-02,4.298741e-04,2.047049e+00
86,1.663234e-02,2.766348e-04,1.792048e+00,1.945935e-02,3.786662e-04,1.993259e+00,2.147511e-02,4.611804e-04,2.110964e+00
87,1.715793e-02,2.943946e-04,1.843304e+00,2.004310e-02,4.017264e-04,2.052190e+00,2.228472e-02,4.966087e-04,2.193226e+00
88,1.777722e-02,3.160295e-04,1.896994e+00,2.050513e-02,4.204602e-04,2.102387e+00,2.297330e-02,5.277726e-04,2.253163e+00
89,1.847341e-02,3.412669e-04,1.946237e+00,2.129917e-02,4.536547e-04,2.152865e+00,2.369806e-02,5.616051e-04,2.310738e+00
90,1.914771e-02,3.666347e-04,2.005892e+00,2.225096e-02,4.951054e-04,2.233125e+00,2.517303e-02,6.336831e-04,2.378603e+00
91,1.991453e-02,3.965890e-04,2.062368e+00,2.312166e-02,5.346540e-04,2.346565e+00,2.664882e-02,7.101597e-04,2.469775e+00
92,2.075738e-02,4.308689e-04,2.147205e+00,2.391201e-02,5.717866e-04,2.418288e+00,2.789484e-02,7.781237e-04,2.568358e+00
93,2.184017e-02,4.769930e-04,2.225466e+00,2.541868e-02,6.461150e-04,2.505662e+00,2.908064e-02,8.456839e-04,2.686126e+00
94,2.284239e-02,5.217747e-04,2.303457e+00,2.653559e-02,7.041399e-04,2.553977e+00,3.127358e-02,9.780383e-04,2.755598e+00
95,2.404032e-02,5.779369e-04,2.413017e+00,2.817988e-02,7.941088e-04,2.692818e+00,3.378621e-02,1.141511e-03,2.909232e+00
96,2.576080e-02,6.636221e-04,2.551628e+00,3.045768e-02,9.276707e-04,2.875641e+00,3.675744e-02,1.351112e-03,3.141847e+00
97,2.793167e-02,7.801797e-04,2.756768e+00,3.401025e-02,1.156708e-03,3.121423e+00,3.940455e-02,1.552720e-03,3.521066e+00
98,3.023653e-02,9.142479e-04,3.018358e+00,3.719295e-02,1.383316e-03,3.361798e+00,4.435379e-02,1.967514e-03,3.923330e+00
99,3.633198e-02,1.320013e-03,3.470901e+00,4.570424e-02,2.089283e-03,3.831244e+00,5.320549e-02,2.830825e-03,4.494534e+00
100,6.696606e-02,4.484453e-03,5.342700e+00,9.294879e-02,8.639478e-03,6.784091e+00,1.075763e-01,1.157265e-02,8.662443e+00
