percentile,tr_ae,tr_se,tr_ape,va_ae,va_se,va_ape,te_ae,te_se,te_ape
56,6.097226e-03,3.717617e-05,3.754676e-01,7.972126e-03,6.355481e-05,4.857844e-01,7.730727e-03,5.976414e-05,4.712734e-01
57,6.206827e-03,3.852470e-05,3.844102e-01,8.149157e-03,6.640876e-05,5.007216e-01,7.879751e-03,6.209055e-05,4.823033e-01
58,6.364832e-03,4.051109e-05,3.925169e-01,8.328376e-03,6.936187e-05,5.098938e-01,8.047676e-03,6.476517e-05,4.925813e-01
59,6.505961e-03,4.232753e-05,4.001443e-01,8.461819e-03,7.160241e-05,5.213532e-01,8.222406e-03,6.760796e-05,4.986935e-01
60,6.638098e-03,4.406436e-05,4.097698e-01,8.621812e-03,7.433566e-05,5.340265e-01,8.405709e-03,7.065595e-05,5.073352e-01
61,6.801300e-03,4.625768e-05,4.181847e-01,8.857522e-03,7.845570e-05,5.450663e-01,8.597646e-03,7.391951e-05,5.181578e-01
62,6.970763e-03,4.859154e-05,4.281975e-01,8.995266e-03,8.091483e-05,5.588030e-01,8.866854e-03,7.862110e-05,5.307863e-01
63,7.140069e-03,5.098058e-05,4.372042e-01,9.243546e-03,8.544314e-05,5.732974e-01,9.080465e-03,8.245484e-05,5.461371e-01
64,7.293496e-03,5.319509e-05,4.479479e-01,9.508228e-03,9.040646e-05,5.828272e-01,9.227281e-03,8.514272e-05,5.566607e-01
65,7.431579e-03,5.522836e-05,4.571752e-01,9.717536e-03,9.443051e-05,5.949011e-01,9.435833e-03,8.903496e-05,5.682882e-01
66,7.620001e-03,5.806442e-05,4.670813e-01,9.879241e-03,9.759941e-05,6.065036e-01,9.696856e-03,9.402901e-05,5.811711e-01
67,7.780948e-03,6.054319e-05,4.785583e-01,1.015985e-02,1.032225e-04,6.195957e-01,9.944181e-03,9.888675e-05,5.929723e-01
68,7.978473e-03,6.365603e-05,4.900285e-01,1.035443e-02,1.072144e-04,6.330086e-01,1.013474e-02,1.027129e-04,6.046611e-01
69,8.139400e-03,6.624985e-05,4.987626e-01,1.060499e-02,1.124658e-04,6.458163e-01,1.030325e-02,1.061571e-04,6.191197e-01
70,8.354926e-03,6.980483e-05,5.071004e-01,1.083963e-02,1.174981e-04,6.610383e-01,1.059494e-02,1.122528e-04,6.340900e-01
71,8.526640e-03,7.270359e-05,5.182482e-01,1.110058e-02,1.232229e-04,6.790242e-01,1.086678e-02,1.180869e-04,6.486197e-01
72,8.675303e-03,7.526089e-05,5.300605e-01,1.131227e-02,1.279675e-04,6.878497e-01,1.107184e-02,1.225857e-04,6.662749e-01
73,8.825903e-03,7.789656e-05,5.416084e-01,1.157035e-02,1.338730e-04,7.013925e-01,1.135253e-02,1.288799e-04,6.843271e-01
74,9.037852e-03,8.168277e-05,5.531086e-01,1.176485e-02,1.384117e-04,7.212827e-01,1.160310e-02,1.346319e-04,6.992282e-01
75,9.233117e-03,8.525045e-05,5.646242e-01,1.213324e-02,1.472155e-04,7.413070e-01,1.185203e-02,1.404706e-04,7.109559e-01
76,9.472218e-03,8.972291e-05,5.776048e-01,1.253291e-02,1.570738e-04,7.577995e-01,1.205201e-02,1.452509e-04,7.285458e-01
77,9.704218e-03,9.417186e-05,5.873134e-01,1.280270e-02,1.639092e-04,7.817446e-01,1.234736e-02,1.524574e-04,7.448227e-01
78,9.931965e-03,9.864392e-05,6.035945e-01,1.312136e-02,1.721700e-04,7.962274e-01,1.264513e-02,1.598992e-04,7.680261e-01
79,1.015453e-02,1.031145e-04,6.159178e-01,1.333757e-02,1.778908e-04,8.126932e-01,1.300054e-02,1.690142e-04,7.866007e-01
80,1.039932e-02,1.081458e-04,6.323871e-01,1.358244e-02,1.844828e-04,8.363487e-01,1.326973e-02,1.760858e-04,8.073018e-01
