#CASE,DOF_ALFAIN_BC_,DOF_PITCH_BC_,DOF_RE2IS_BC_,DOF_MA2IS_BC_,DOF_ARATIO_BC_,DOF_BETA1_G0_,DOF_BETA2_G0_,DOF_W1_G0_,DOF_W2_G0_,DOF_RTE_G1_,DOF_TMAXU_G1_,DOF_TMAXL_G1_,DOF_TMOVXU_G1_,DOF_TMOVXL_G1_,DOF_TUCP2_G2_,DOF_TUCP3_G2_,DOF_SUCP3_G2_,DOF_TUCP5_G2_,DOF_SUCP5_G2_,DOF_TLCP5_G2_,DOF_SLCP5_G2_,OF_alfa_ex_FL_OP_01,OF_Cpt_FL_OP_01,OF_CSI_FL_OP_01,OF_phi_FL_OP_01,OF_psi_FL_OP_01,OF_Zwc_FL_OP_01,OF_DFss_mis_LO_OP_01,OF_Ds_cp_LO_OP_01,OF_Tmax_GM_OP_01,OF_X_Tmax_GM_OP_01,OF_Wedge_TE_GM_OP_01,OF_UGT_GM_OP_01,OF_Area_GM_OP_01
224241,28.851,0.07389832188,220170.0,0.6185,1.304313,20.28221,-63.935785,0.6606262,0.8661423,0.001244857,0.01663759,0.007563801,0.05341988,-0.03315086,0.4591275,0.9593376,0.09538177,0.5205116,0.72439,0.4188644,0.5049,-63.901,0.05704,0.04948,0.6709474059,1.739269119,0.9529502101,1.3144,0.6393,0.0223448426,0.221760049,15.52010993,23.2092896,0.00181266083
224242,25.882,0.09598385339,111450.0,0.75131,1.001969,12.93846,-69.013905,0.6481262,0.7567673,0.001387045,0.02110634,0.006196613,-0.1270489,-0.005807114,0.4247525,0.7277751,0.1122568,0.7470741,0.5095463,0.3969894,0.7431812,-61.168,0.08022,0.06558,0.7510871049,1.728833501,0.853219975,1.3447,2.3585,0.0242397022,0.197340086,13.12984693,28.8009396,0.00205818494
224243,20.179,0.06529308547,112320.0,0.46616,1.082828,24.42284,-59.943595,0.4168762,0.3895798,0.001580013,0.02821571,0.01699739,0.083498,-0.1124477,0.34819,0.8969939,0.1506943,0.3291054,0.5193119,0.5079269,0.5068531,-61.916,0.11225,0.10388,0.6637546921,1.487876002,0.6660826291,1.8179,2.6583,0.0388056822,0.256000042,14.6706338,9.61071396,0.00277978159
224246,20.804,0.06762404623,179120.0,0.62241,1.167203,7.54784,-62.3810951,0.5668762,0.4520798,0.001823763,0.01684071,0.002778645,-0.113377,-0.1343227,0.36069,0.8732439,0.08319427,0.4853554,0.6911869,0.3704269,0.6787281,-63.93,0.06076,0.05265,0.6009550759,1.456658857,0.6828788184,1.1204,1.3112,0.0177570526,0.14455995,7.283796315,16.6800289,0.00147201866
224251,26.907,0.08130739291,93920.0,0.46079,1.391764,8.69041,-65.247309,0.7145325,0.9354782,0.001248666,0.01437782,0.002522297,0.01274605,-0.0622036,0.4319791,0.8172087,0.09151459,0.7055702,0.6518803,0.5124191,0.5412769,-64.706,0.05871,0.05419,0.6216557706,1.630958953,1.159285884,1.4398,1.0302,0.015202933,0.256000072,12.02167677,24.4128132,0.00138665852
224253,27.22,0.06059100022,180520.0,0.44516,1.040201,2.75291,-65.403559,0.4895325,0.6542282,0.001451791,0.008690323,0.004162922,0.08930855,-0.0731411,0.3132291,0.6865837,0.1552646,0.4711952,0.6909428,0.3561691,0.5178394,-63.558,0.06807,0.0632,0.6682646893,1.687472666,0.6016882797,1.0693,0.8629,0.0101615097,0.301500112,4.37325469,15.9066353,0.000927393499
224258,22.767,0.06156882589,127330.0,0.40219,1.078873,19.237292,-61.2707488,0.4082825,0.2557907,0.001807259,0.0141747,0.007854328,0.1904804,-0.108688,0.3304166,0.921115,0.1093271,0.3032265,0.6850834,0.4608566,0.6486988,-61.994,0.06394,0.06015,0.6846652813,1.57468575,0.6562455156,1.0758,0.5345,0.0191624723,0.296815157,7.22537994,13.0035591,0.00159477408
224259,27.142,0.1106840193,210710.0,0.49594,1.106998,6.11229,-69.583249,0.6582825,0.1932907,0.0007510094,0.0255497,0.006760578,-0.09389458,0.175687,0.3429166,0.612365,0.1168271,0.4594765,0.7007084,0.4483566,0.6955738,-63.702,0.04457,0.04058,0.6618690538,1.678615923,1.175310032,1.3153,2.0876,0.0265075471,0.242935002,18.51284412,29.6147079,0.00237061828
224261,20.892,0.08512159715,139510.0,0.43344,1.275748,4.86229,-71.20825,0.7582825,0.5682907,0.001888509,0.009299698,0.008948078,-0.1376446,0.131937,0.3179166,0.754865,0.1918271,0.5219765,0.5444584,0.3733566,0.7268238,-63.668,0.05255,0.04892,0.610201999,1.465831732,1.037122072,1.2394,0.5617,0.0152010862,0.213500023,5.28105974,30.0923195,0.00133410434
224262,23.704,0.07396941078,86010.0,0.57407,1.261686,11.42479,-58.364499,0.6332825,0.09954071,0.001116634,0.0231122,0.01168245,0.04829292,0.01162453,0.3991666,0.60049,0.09057709,0.6626015,0.5522709,0.4671066,0.5158863,-63.178,0.06882,0.06093,0.6498893029,1.570671148,0.8972038018,1.2947,0.9136,0.0294297952,0.296814978,20.58804135,13.8787966,0.0023216093
